setting,model,balanced_accuracy,macro_f1
baseline P=20 / random,RF,0.3881848972890862,0.4261931466739363
baseline P=20 / random,LogReg_bal,0.3874632967763863,0.17961719187108408
baseline P=20 / random,ExtraTrees,0.3735422900712516,0.41046537838360636
baseline P=20 / temporal_strat,RF,0.34653026752741306,0.35803000399797236
baseline P=20 / temporal_strat,ExtraTrees,0.3078492673621046,0.3070510708587217
baseline P=20 / temporal_strat,LogReg_bal,0.3021409132145275,0.16185406419872633
extended P=20 / random,LogReg_bal,0.4388517768344828,0.2156683492020208
extended P=20 / random,ExtraTrees,0.4069760457302042,0.44113603381595495
extended P=20 / random,RF,0.404418753080719,0.45134292129793413
extended P=20 / temporal_strat,LogReg_bal,0.352711973322692,0.1443511243280556
extended P=20 / temporal_strat,ExtraTrees,0.33496426796248907,0.33204125118649924
extended P=20 / temporal_strat,RF,0.2948853850032389,0.2993878653295419
